title,authors,summaries,page
Két város: Regény három könyvben,"Dickens, Charles","""Két város: Regény három könyvben"" by Charles Dickens is a historical novel published in 1859, set in London and Paris during the French Revolution. The story follows Dr. Alexandre Manette, imprisoned for eighteen years in the Bastille, and his reunion with his daughter Lucie. Against the backdrop of revolutionary violence and social upheaval, their lives become intertwined with Charles Darnay, a French aristocrat fleeing his family's brutal legacy, and Sydney Carton, a dissolute lawyer harboring unrequited love. As the Terror escalates, their fates converge in unexpected ways. (This is an automatically generated summary.)",2
A láthatatlan ember: Regény,"Gárdonyi, Géza","""A láthatatlan ember: Regény"" by Géza Gárdonyi is a novel published in 1902. Set in the 5th century, it follows Zéta, a Greek slave who travels with his master to Attila the Hun's city along the Tisza River. When Zéta glimpses a Hun maiden named Emőke, he falls desperately in love and voluntarily becomes her father's servant to stay near her. Through battles, plagues, and Attila's death, Zéta's journey becomes one of adventure, devotion, and ultimately unexpected transformation in a world of empires and warfare. (This is an automatically generated summary.)",2
Édes anyaföldem! : Egy nép s egy ember története (2. kötet),"Benedek, Elek","""Édes anyaföldem! : Egy nép s egy ember története (2. kötet)"" by Elek Benedek is a literary work focusing on Hungarian history and culture, likely written in the early 20th century. The narrative explores themes of identity, belonging, and the deep connection one has with their homeland, particularly through the eyes of the protagonist, who seems to undergo a journey both physically and emotionally.   At the start of the narrative, the protagonist, referred to as the ""prodigal son,"" reflects on his past struggles and a newfound appreciation for life as he travels towards Pest, filled with hope and dreams. This journey coincides with the joyful celebration of Easter, symbolizing a personal resurrection and renewed purpose. He encounters old friends and contemplates his relationship with writing and literature, expressing a desire to honor his father's legacy through his work. The opening portrays a vivid tapestry of his memories and aspirations, alongside his observations of the Hungarian landscape, setting the tone for themes of heritage and the importance of roots in subsequent chapters. (This is an automatically generated summary.)",2
Tinta,"Kosztolányi, Dezső","""Tinta"" by Dezső Kosztolányi is a novel written in the early 20th century. The narrative begins on the eve of war, juxtaposing the mundane life of citizens with the impending chaos of conflict. It focuses on the experiences of a young student caught in the realities of a world on the brink of transformation, exploring themes of innocence, societal change, and the shadow of war.  The opening of ""Tinta"" depicts the day when the news of war breaks, offering a vivid and sensory-rich account of the nation's atmosphere as people engage in their daily lives, oblivious to the gravity of the situation looming before them. Among them is a seventeen-year-old student who ventures into the hills, pondering philosophical questions and unexpectedly encountering soldiers, thus marking the intrusion of war into personal and collective consciousness. Kosztolányi artfully captures the initial stages of societal numbness, juxtaposing tranquility with the foreboding sense of an imminent and turbulent change, foreshadowing the emotional landscape that will unfold as the narrative progresses. (This is an automatically generated summary.)",2
Székelyföldi gyüjtés; Magyar népköltési gyüjtemény 7. kötet,"Mailand, Oszkár","""Székelyföldi gyűjtés; Magyar népköltési gyűjtemény 7. kötet"" by Oszkár Mailand is a collection of folk songs and traditional tales written in the early 20th century. The work aims to preserve the nearly extinct native expressions of the Székely people, highlighting the richness of their cultural heritage amidst the influences of modernization and other ethnicities. Mailand's collection serves as a critical artifact reflecting the folk spirit and poetic expression of the Székely community.  The opening of this volume provides an introduction to the motivations behind the collection, detailing how the Kisfaludy Society commissioned Mailand to gather folk songs and traditions from the Székely population to prevent their disappearance. It reveals Mailand’s concerns about outside influences, particularly from the Romanian culture, which has gradually seeped into Székely traditions. He begins his fieldwork passionately, emphasizing the importance of capturing the pure essence of Székely folklore before it fades due to external pressures. Amidst his findings, he documents real-life accounts, expressions, and details of the people he encounters during his collection efforts. (This is an automatically generated summary.)",2
Antigone,Sophocles,"""Antigone"" by Sophocles is an Athenian tragedy written in either 442 or 440 BC. When Creon, the new ruler of Thebes, forbids the burial of Polynices—a brother who died fighting for the opposing side in a civil war—his niece Antigone faces an impossible choice. She must decide between obeying her uncle's decree or honoring divine law and family duty by burying her brother. Her defiance sets off a clash between human authority and sacred obligation that threatens to destroy them all. (This is an automatically generated summary.)",2
Az oszlopbáró: Regény,"Tolnai, Lajos","""Az oszlopbáró: Regény"" by Lajos Tolnai is a novel written in the late 19th century. This work is set in Budapest and follows the life of Sándor Ilyés, who embarks on a journey marked by family struggles, social status, and education. The narrative hints at the themes of class distinction as well as personal development through the protagonist's interactions with the aristocracy, particularly focusing on Ádám báró and his mother, as well as their relationships with those from different social backgrounds.  The opening of the novel introduces Sándor Ilyés's humble beginnings, reflecting on memories of his once prosperous family through the eyes of his caring yet hardworking mother. As Sándor prepares for a new chapter in his life, aiming to attend school in Öreg-Telek, he grapples with feelings of longing for his family's past and anxiety about the future. The atmosphere is enriched with familial love, life lessons from his parents, and a mix of hope and despair as they confront their social realities. Notably, Sándor's spirit shines through as he expresses determination to rise above his circumstances while forming connections with the affable Ádám báró, foreshadowing the intertwining fates of their disparate lives. (This is an automatically generated summary.)",2
A Bakony (2. kötet),"Eötvös, Károly","""A Bakony (2. kötet)"" by Károly Eötvös is a historical account written in the late 19th century. The work delves into the life and legacy of Sobri Joska, a notorious bandit from the Bakony region of Hungary, exploring the various legends surrounding him and his companions. It seems to engage with both factual recounting and folklore, illustrating Sobri’s impact on local culture and memory.  The opening of the work introduces the character of Sobri and sets the stage for an exploration of his life, delving into public curiosity about his identity after he vanished nearly sixty-nine years prior. It highlights questions surrounding his past, such as whether he was truly a nobleman or simply an enigmatic outlaw. This section suggests that Eötvös intends to unravel myths and mende-mondák (folk tales) related to Sobri Jóska, including accounts of his notable companions, deeds, and the folklore that has grown around his name. It reflects on the intersection of history and storytelling, hinting at a rich narrative that captures the essence of Hungarian culture and memory. (This is an automatically generated summary.)",2
A Pál-utcai fiúk: Regény kis diákok számára,"Molnár, Ferenc","""A Pál-utcai fiúk: Regény kis diákok számára"" by Ferenc Molnár is a novel first published in 1906. Set in Budapest in March 1889, it follows two rival gangs of schoolboys—the Pál Street Boys and the Red-Shirts—battling for control of their beloved playground, the ""grund."" At the center stands Nemecsek Ernő, a small, blond boy often underestimated by his peers, whose courage and loyalty will determine the outcome. This tale of childhood honor, betrayal, and sacrifice has become Hungary's most internationally celebrated novel. (This is an automatically generated summary.)",2
A báróné ténsasszony: Regény,"Tolnai, Lajos","""A báróné ténsasszony: Regény"" by Lajos Tolnai is a novel written in the early 20th century. The narrative opens with a glimpse into the life of various characters who navigate the complexities of their social standing and personal ambitions in a historical setting. The story revolves around Bella, a young girl from a humble background, and her interactions with wealthier characters, reflecting themes of class disparity and personal aspiration.  The opening of the novel introduces readers to a cold Christmas day filled with the sounds of a sewing machine, symbolizing the working class's struggles. It focuses on Harkai, the protagonist, who is optimistic about the return of Kossuth from America and is filled with hope for a brighter future amidst their poverty. As he brings news of potential change, the narrative also introduces Bella, who is preparing to step into a world of social contrasts. The manner in which the characters deal with their circumstances hints at deeper themes of resilience, hope, and the ongoing conflict between rich and poor in the society Tolnai depicts. Through nuanced character portrayals and rich dialogue, the narrative sets the stage for exploring the societal challenges and personal aspirations of its characters. (This is an automatically generated summary.)",2
A kőszivű ember fiai (1. rész): Regény,"Jókai, Mór","""A kőszivű ember fiai (1. rész): Regény"" by Mór Jókai is a novel published in 1869. A tyrannical nobleman dies after dictating his family's future, but his widow defies his final wishes. She brings her three sons home to join the Hungarian revolution of 1848-49, setting them on paths of romance, battle, and sacrifice. As the freedom struggle unfolds, brothers fight for independence while facing betrayal, imprisonment, and impossible choices that will test their loyalties and courage. (This is an automatically generated summary.)",2
Magyar alakok,"Eötvös, Károly","""Magyar alakok"" by Károly Eötvös is a collection of narratives likely written in the late 19th century. The work appears to delve into the lives and characters of notable Hungarian figures, intertwining history with personal tales, exploring themes of love, societal roles, and the rich tapestry of Hungarian culture and politics.  The opening of the book introduces Gróf Széchenyi István, a prominent figure, through a vivid description of a portrait that hung over his desk. This painting of a beautiful young woman captivates both Széchenyi and his visitors, igniting speculation about its origins. As the narrative unfolds, it reveals Széchenyi's life journey, marked by a pivotal moment during his travels in Greece, where he is inspired to dedicate himself to the reconstruction and advancement of Hungary. Alongside this backdrop, the text introduces a supporting character, the enchanting Mariska, whose relationship with Széchenyi serves as a significant thread, hinting at deep emotional connections amid the shifting fortunes of their lives. (This is an automatically generated summary.)",2
A vörös regina: regény,"Abonyi, Árpád","""A vörös regina: regény"" by Árpád Abonyi is a novel written in the early 20th century. The story begins in 1914 and follows the life of a reluctant soldier, who, after being called up to service, leaves behind his isolated life in the forests to face the realities and chaos of war. The narrative focuses on his experiences as he grapples with the loss of solitude and the complexities of camaraderie in the military.  The opening of the book presents the protagonist bidding farewell to his quiet life in a remote forest lodge as he prepares to join his regiment at the outbreak of World War I. He reflects on his solitary existence and the simplicity of life in the woods, contrasting it with the bustling and vibrant scene in the city as he arrives for enlistment. The narrative captures his mixed feelings of resignation and curiosity about the impending journey, along with a sense of duty that drives him forward despite the challenges ahead. As he transitions from his familiar surroundings into the unknowns of military life, the tone hints at deeper themes of camaraderie and the stark realities of war that will unfold as the story progresses. (This is an automatically generated summary.)",2
A tragikum,"Beöthy, Zsolt","""A Tragikum"" by Zsolt Beöthy is a philosophical treatise written in the late 19th century. This work explores the elements of tragedy and its significance in art and life, including the nature of tragic heroism and the balance between the individual and universal principles. The book aims to delve into various dimensions of tragedy as experienced by characters, drawing on literary examples from renowned works, which likely includes discussions on themes like fate, moral dilemmas, and the human condition.  At the start of ""A Tragikum,"" the author introduces the concept of tragedy, emphasizing its comforting yet complex nature. Beöthy argues that tragic events often stem from a conflict between the individual's inherent qualities and the pressures of the universal order, which can lead to profound insights and catharsis. He elaborates on the tragic hero's duality, where their admirable traits coexist with flaws that ultimately bring about their downfall. Throughout this opening portion, the text draws on classical literature, invoking figures like Antigone and Macbeth to illustrate these tragic dynamics and to outline how such struggles resonate within the human experience. (This is an automatically generated summary.)",2
Kálozdy Béla: Regény (2. kötet),"Beöthy, Zsolt","""Regény (2. kötet)"" by Zsolt Beöthy is a novel written in the late 19th century. This narrative appears to center around the small town of Kálozdy, exploring themes of societal dynamics, justice, and human relationships. The story unfolds primarily through the interactions of various characters, particularly focusing on figures such as the local judge and the rektor, who are caught in a web of intrigue that alludes to deeper societal issues.  At the start of the novel, the scene is set at the popular tavern ""Vörös Bika,"" where the characters gather amid a bustling market day. The tavern, described in a somewhat dilapidated state, serves as the backdrop for the unfolding drama surrounding the disappearance of the local rektor, which sparks concern among the villagers. Key characters discuss their efforts to locate the missing man while revealing the intricate relationships and tensions within the community. The dialogue hints at court intrigues and underlying issues that relate to justice and morality—suggesting that the narrative will delve into the complexities of human behavior amid the pressures of society. (This is an automatically generated summary.)",2
Elbeszélések és tárcák,"Rákosi, Viktor","""Elbeszélések és tárcák"" by Viktor Rákosi is a collection of stories and essays written in the early 20th century. The book presents a variety of narratives that explore different aspects of life, culture, and human emotions, often depicting characters in relatable or humorous situations. This collection provides a glimpse into societal dynamics and personal experiences of that era.  The opening portion introduces readers to a cafe scene on a dreary, rain-soaked October evening, where the patrons and musicians appear to be feeling the effects of the weather. A notable character is Bresztler, the overweight and stern owner, who interacts with the arriving performers, showcasing his authority and the atmosphere of the establishment. Tension builds as the young musician, Bencze-lány, struggles with her responsibilities amid concerns for her sick mother, contrasting her aspirations with the harsh realities of her life. This opening effectively sets the tone for the themes of struggle, ambition, and societal expectations that likely permeate the stories within the collection. (This is an automatically generated summary.)",2
"Leányok, asszonyok","Ambrus, Zoltán","""Leányok, asszonyok"" by Zoltán Ambrus is a collection of stories written in the early 20th century. The book explores themes of youth, femininity, and societal expectations through the lens of young female characters, particularly focusing on their interactions, struggles, and the complexities of their emotions within their environments.   At the start of the narrative, the scene unfolds in a classroom setting where the music teacher addresses her students regarding a lost diamond ring belonging to a girl named Kamilla. There is a palpable tension as the entire class becomes involved in the search for the missing ring, leading to accusations and emotional responses. The dynamics within the classroom reveal the personalities of the girls, showcasing a range of reactions from fear and shame to defiance, with a particular spotlight on Juliska, who appears anxious and distressed. As the search intensifies and the atmosphere becomes charged, the introductory chapter sets the foundation for exploring deeper issues of trust, social hierarchies, and the personal dilemmas faced by these young girls. (This is an automatically generated summary.)",2
Utazás a Holdba kilenczvenhét óra és husz percz alatt,"Verne, Jules","""Utazás a Holdba kilenczvenhét óra és husz percz alatt"" by Jules Verne is a science fiction novel published in 1865. After the American Civil War ends, members of Baltimore's Gun Club devise an audacious plan to fire a cannonball directly at the Moon. When a daring Frenchman volunteers to ride inside the projectile, the president and his rival join him on this unprecedented voyage. Will the three travelers reach their lunar destination, or will fate intervene in their bold attempt to leave Earth? (This is an automatically generated summary.)",2
Mire megvénülünk (1. kötet),"Jókai, Mór","""Mire megvénülünk"" by Mór Jókai is a novel written in the late 19th century. The story revolves around the intertwined lives of a family struggling with joy and tragic loss, particularly focusing on a young boy named Dezső and his deep bond with his older brother, Loránd. As the narrative unfolds, the family faces a harrowing tragedy that threatens to pull them apart, highlighting themes of love, grief, and the complexities of familial relationships.   At the start of the novel, we are introduced to Dezső's idyllic childhood, filled with love and happiness within a close-knit family that includes his parents, grandmother, and brother. This blissful existence is shattered when their father suddenly dies, leading to a profound sense of confusion and despair, particularly for the young Dezső. He grapples with the concept of death, unable to fully comprehend the permanence of loss while sharing poignant moments with Loránd, who has taken on the role of protector and comforter amid the tragedy. The opening sets a poignant tone, establishing deep emotional stakes as it slowly transitions from innocence to the harsh realities of life and death. (This is an automatically generated summary.)",2
Vándorlásaim és élményeim Persiában,"Vámbéry, Ármin","""Vándorlásaim és élményeim Persiában"" by Ármin Vámbéry is a travel memoir written in the late 19th century. The work focuses on the author's explorations and experiences in Persia, offering insights into the culture, geography, and peoples of the region. Vámbéry aims to provide a comprehensive account of his observations and reflections during his travels, thus enriching the reader's understanding of Persia as a rich and diverse land.  The opening of the memoir sets the stage for Vámbéry's journey, describing his motivations to document his travels through Persia after previously exploring Central Asia. He emphasizes the necessity of understanding the country’s cultural and historical context, distinguishing it from the more familiar regions of Europe. He introduces the reader to the geographical expanse of Persia, its varied landscapes, and the challenges faced by travelers in this area, as well as his personal reflections and the contrasts he observed between the Persian way of life and the societies of neighboring regions. Overall, this portion serves as an invitation for readers to join him in his detailed exploration of Persia's unique features and complexities. (This is an automatically generated summary.)",2
Különféle magyarok meg egyéb népek,"Tömörkény, István","""Különféle magyarok meg egyéb népek"" by István Tömörkény is a collection of short stories written in the early 20th century. The work paints a vivid picture of various aspects of Hungarian life and culture through engaging narratives and relatable characters. The stories reflect the challenges, humor, and traditions of rural communities in Hungary.  The opening of the collection introduces readers to a particular tale involving a milkman and his horse named Bársony, which has served him faithfully for six years. As the horse falls ill, both the milkman and his wife grapple with the potential loss and financial implications of its demise. The narrative takes a humorous turn as it explores the quirky dynamics between the couple, their financial struggles, and the townspeople's reactions. The scenes set a tone of both lightheartedness and poignancy, establishing Tömörkény's ability to weave social commentary into his storytelling from the very start. (This is an automatically generated summary.)",2
A Bélteky ház: Tanregény (2. kötet),"Fáy, András","""A Bélteky ház: Tanregény (2. kötet)"" by András Fáy is a novel written in 1832, recognized as the first Hungarian social novel. Young Gyula Bélteky returns from Western Europe inspired by progressive ideas, clashing with his traditional father. Working as a tutor under an assumed name, he becomes entangled in romantic complications, family conflicts, and dangerous encounters with bandits. The story weaves reformist ideals about society and economy with dramatic plot twists involving love triangles, betrayals, and revelations that test loyalties and expose hidden identities. (This is an automatically generated summary.)",2
Im-ígyen szóla Zarathustra,"Nietzsche, Friedrich Wilhelm","""Im-ígyen szóla Zarathustra"" by Friedrich Nietzsche is a work of philosophical fiction published in four volumes between 1883 and 1885. Through discourses delivered by the Persian prophet Zarathustra, Nietzsche explores profound subjects ranging from metaphysics to the nature of morality. The work introduces core ideas including the Übermensch, the death of God, the will to power, and eternal recurrence. Written during periods of intense walking and personal turmoil, this provocative text emerged from decades of accumulated philosophical thought, challenging received wisdom and traditional moral frameworks. (This is an automatically generated summary.)",2
Életbölcseség: Aforizmák,"Schopenhauer, Arthur","""Életbölcseség: Aforizmák"" by Arthur Schopenhauer is a philosophical treatise written in the early 20th century. The work primarily focuses on the complexities of human happiness and the nature of existence, exploring wisdom regarding the pursuit of a fulfilling and content life. Through a series of aphorisms, the author delves into what defines a happy life, emphasizing the role of individual character over external factors like wealth or social standing.  The opening of the text introduces the concept of ""életbölcseség,"" or life wisdom, which Schopenhauer describes as the art of making life as pleasant and happy as possible. He proposes that true happiness is rooted within ourselves and highlights how external validations and material possessions are ultimately transient and uncertain. The author sets a contemplative tone, recognizing the inherent value of individual character and inner fulfillment, stating that our inner lives are far more significant in determining true happiness than the variables of external circumstances, such as wealth and reputation. The foundation for his philosophical exploration is established here, signaling the depth of inquiry Schopenhauer intends to pursue throughout the text. (This is an automatically generated summary.)",2
Népdalok és mondák (1. kötet); Magyar népköltési gyüjtemény,"Erdélyi, János","""Népdalok és mondák (1. kötet); Magyar népköltési gyüjtemény"" by János Erdélyi is a collection of folk songs and tales compiled in the mid-19th century. This work brings together various pieces of Hungarian oral tradition, emphasizing the cultural and historical significance of the country's folk poetry. The collection is likely aimed at preserving the richness of Hungarian folklore by documenting songs that span themes of love, nature, and social life.  The opening of the volume presents a comprehensive preface that outlines the motivations behind the collection of Hungarian folk poetry. Erdélyi reflects on prior efforts to gather folk songs, noting the necessity to maintain their authenticity and cultural value in the face of fading traditions. The text suggests a collaborative effort with contributions from local scholars and enthusiasts, revealing the collective endeavor to safeguard these folk expressions. Additionally, the first section introduces a series of love songs that poignantly convey the emotional landscape of Hungarian romantic relationships, setting the stage for the lyrical exploration of the genre throughout the volume. (This is an automatically generated summary.)",2
Megtörtént regék: Beszélyek,"Jókai, Mór","""Megtörtént regék: Beszélyek"" by Mór Jókai is a collection of narratives written in the late 19th century. The book explores intriguing tales that delve into human relationships, societal issues, and moral dilemmas, often featuring strong-willed and complex characters. Among them is Lady Matilda, who personifies beauty and cunning but is ultimately embroiled in a web of deceit and treachery.  The opening of the narrative introduces the reader to the context of the story through a dialogue between Nyáry Pál and another character. As Nyáry shares captivating stories from his past during a dull session of the assembly, the first tale unfolds, centering around Matilda, a beautiful and wealthy baroness. Her glamorous lifestyle masks a darker reality of debt and manipulation, as she navigates her entanglements with her estranged husband and his inheritance. The narrative hints at Matilda’s duplicitous nature and foreshadows the unfolding drama that revolves around her quest for wealth and status, while also establishing the themes of betrayal and the intricate workings of law and morality. (This is an automatically generated summary.)",2
Sárarany,"Móricz, Zsigmond","""Sárarany"" by Zsigmond Móricz is a novel written in the early 20th century. The story revolves around Turi Dani, a farmer in a small Hungarian village, who is grappling with the harshness of rural life, familial responsibilities, and personal ambitions. The book portrays the struggles and dynamics within his marriage, illustrating the tensions that arise from societal expectations and personal desires.  At the start of the novel, the oppressive heat of summer serves as a backdrop to the daily life of Dani and his wife, Erzsi. Dani returns home, preoccupied with grand plans for wealth that seem to frustrate Erzsi, who feels neglected and resentful. Their interactions are fraught with tension and unspoken grievances, revealing the difficulties in their relationship, as Dani's ambitions clash with the reality of their life together. This opening effectively sets the stage for exploring themes of ambition, familial strife, and the complexities of rural existence, inviting readers into the emotional landscape of the characters' lives. (This is an automatically generated summary.)",2
Napraforgók: Ujabb beszélyek,"Jókai, Mór","""Napraforgók: Ujabb beszélyek"" by Mór Jókai is a novel written in the late 19th century. The narrative unfolds against the backdrop of the Hungarian War of Independence in 1848, portraying the intertwining lives of a rural family as they navigate tumultuous events surrounding the uprising. Central to the story is Csapó Márton and his son, Peti, who is compelled to join the fight for liberty. The novel explores themes of familial bonds, sacrifice, and national pride, reflecting the spirit of struggle for freedom in Hungary.  The opening of the novel introduces us to a hot summer in 1848 in the village of Bozonka, as Peti prepares to enlist. His mother, Klára, is deeply distressed at the thought of losing her beloved son to war, while his father supports Peti's desire to fight for his country's freedom. Amidst this emotional turmoil, Peti's patriotic resolve is depicted alongside the anxiety of his family. As they prepare for the journey, the community comes alive with national songs and vibrant banter, showcasing the fervent spirit of youth eager to battle for Hungary's independence. The scene effectively sets the tone for the ensuing drama, with hints of imminent conflict and personal stakes. (This is an automatically generated summary.)",2
Giroflé és Girofla: Regény (1. kötet),"Ambrus, Zoltán","""Giroflé és Girofla: Regény (1. kötet)"" by Zoltán Ambrus is a novel written in the early 20th century. The story appears to revolve around the lives and social interactions of characters in a small Hungarian town, highlighting themes of celebration, love, and the complexities of human relationships. Key characters include Horváth Jóska, who grapples with his somewhat boisterous nature during celebrations, and Vidovics Feri, who becomes entangled in the lives of two beautiful sisters, Giroflé and Girofla, who are portrayed as intriguing and slightly mischievous.  The opening of the work introduces us to the festive spirit of József Day, traditionally celebrated in Rác-Árokszállás. It provides a vivid portrayal of the town's social dynamics and key characters engaging in the festivities, including lively celebrations marked by excessive drinking and dancing. Vidovics Feri, who seems quite taken with the two sisters, reflects on the absurdity of their lives while navigating through interactions laden with humor and satire. The text effectively sets the stage for the ensuing drama and romantic entanglements that are likely to follow, creating an engaging atmosphere that draws the reader into this vibrant world. (This is an automatically generated summary.)",2
Deák Ferencz és családja (1. kötet),"Eötvös, Károly","""Deák Ferencz és családja (1. kötet)"" by Károly Eötvös is a biographical work written in the early 20th century. This volume focuses on the life and legacy of Deák Ferenc, a prominent Hungarian statesman, and delves into his character, family background, and the historical context that shaped his contributions to the nation. The author aims to preserve the memory of Deák not just as a statesman but also as an individual with rich personal connections and a significant familial heritage.  The opening of the book sets the stage for a detailed exploration of Deák Ferenc's early life, highlighting his lineage and the influence of his family on his development. Eötvös reflects on his own relationship with Deák, presenting them as both a mentor and a source of inspiration. The narrative begins with an account of Deák's birth, the circumstances surrounding it, and his family's historical roots, emphasizing the individual's connection to their ancestry. Eötvös presents Deák as a paragon of virtues, contrasting the narrative of the statesman's public achievements with his private life and familial ties, asserting that understanding the personal side is essential for appreciating his contributions to Hungary's history. (This is an automatically generated summary.)",3
A szocziológia vázlata,"Palante, Georges","""A Szocziológia Vázlata"" by Georges Palante is a scientific publication written in the early 20th century. This work serves as an introduction to the field of sociology, exploring its definitions, methods, and various domains of study. It presents a comprehensive examination of social phenomena, emphasizing the intricate relationship between individual psychology and social structures.  The opening of the book introduces the concept of sociology, discussing its etymology as the science of society and social groups. Palante critiques various interpretations of sociology, arguing for a definition centered on social psychology, which studies how individual mental states interact with collective societal consciousness. He outlines the importance of understanding social structures, distinguishing sociology from related disciplines such as political science, economics, and ethics, and sets the foundation for a systematic analysis of social dynamics. This opening portion establishes a framework from which Palante plans to explore the operational aspects of sociology, setting the tone for a rigorous academic discourse. (This is an automatically generated summary.)",3
A janicsárok végnapjai; A fehér rózsa,"Jókai, Mór","""A janicsárok végnapjai; A fehér rózsa"" by Mór Jókai is a romantic historical novel published in 1854. Set in the early 19th century Ottoman Empire, the story follows the downfall of Ali Tepelenti, the powerful Albanian pasha of Janina, who defies Sultan Mahmud II. As prophecies unfold and betrayals multiply, Ali's rebellion intersects with a broader crisis threatening the empire from all sides. The narrative culminates in 1826 with the Sultan's bloody suppression of the janissaries, marking the violent end of an era. (This is an automatically generated summary.)",3
Az egri csillagok (II. kötet) : $b Bornemissza Gergely élete,"Gárdonyi, Géza","""Az egri csillagok (II. kötet): Bornemissza Gergely élete"" by Géza Gárdonyi is a historical novel published in 1901. This beloved Hungarian work follows young Bornemissza Gergely and Cecey Éva from childhood through the legendary 1552 siege of Eger fortress. After Turkish raiders abduct them as children, their paths diverge through captivity, daring escapes, and romantic reunion. As the Ottoman Empire threatens to engulf Hungary, their personal story culminates in the desperate defense of Eger, where a small garrison faces overwhelming Turkish forces in a battle that would define the fate of Christian Europe. (This is an automatically generated summary.)",3
Hazai rejtelmek: Regény (1. kötet),"Kuthy, Lajos","""Hazai rejtelmek: Regény (1. kötet)"" by Lajos Kuthy is a novel published in serialized form between 1846-1847. Inspired by Eugène Sue's ""Les Mystères de Paris,"" this Hungarian mystery follows two feuding branches of the Szalárdy family in Pest and the Hungarian plains. When ambitious nobleman György conspires to destroy his brother Elek's orphaned son Ödön through false imprisonment and attempts on his sanity, the young heir must survive among criminals and beggars before uncovering dark family secrets that will restore justice. (This is an automatically generated summary.)",3
Huckleberry Finn kalandjai,"Twain, Mark","""Huckleberry Finn kalandjai"" by Mark Twain is a novel first published in 1884-1885. Young Huck Finn escapes his abusive father and fakes his own death, then flees down the Mississippi River on a raft with Jim, an enslaved man seeking freedom. Their journey brings dangerous encounters with con men, feuding families, and moral dilemmas as Huck struggles between society's rules and his own conscience. Set in pre-Civil War Missouri, this groundbreaking work combines adventure with sharp social satire. (This is an automatically generated summary.)",3
Grimm testvérek összegyüjtött meséi,"Grimm, Jacob, Grimm, Wilhelm","""Grimm testvérek összegyüjtött meséi"" by Jacob Grimm and Wilhelm Grimm is a collection of fairy tales first published in 1812. Two brothers transform oral traditions into written history, gathering folk stories from friends and old books across Germany. What begins as 86 tales grows through seven editions into 200 stories that will define Western children's literature. Born from financial hardship and scholarly passion, these collected tales undergo constant revision—wicked mothers become stepmothers, unsuitable content shifts and changes. The brothers preserve a disappearing world of German folklore, creating a work UNESCO now honors in its Memory of the World Register. (This is an automatically generated summary.)",3
Szép Mikhál: Regény,"Jókai, Mór","""Szép Mikhál: Regény"" by Mór Jókai is a historical novel written during the late 19th century. The story is set in the tumultuous landscape of Hungary during the mid-17th century, focusing on the intricate life of a young woman, Mikhál, raised by her scholarly father, Frölich Dávid, in a strict and protective environment. The narrative explores themes of duty, love, and individuality as Mikhál navigates societal expectations while harboring a secret affection for a fellow student.  At the start of the novel, we are introduced to the context of Mikhál’s life and her father's deep commitment to her education, which he undertakes without any feminine influence after the death of her mother. The narrative sets the stage for Mikhál’s development into a knowledgeable and capable young woman who, under her father’s tutelage, is knowledgeable in subjects deemed critical for a woman of her time. As Mikhál matures, she finds herself torn between her father's expectations and her burgeoning feelings for Kaczenreiter Henrik, a fellow student, ultimately leading to critical decisions that will shape her future amidst the confines of societal norms. The opening chapters hint at the complexities of her character and foreshadow the challenges she will face in seeking autonomy and love. (This is an automatically generated summary.)",3
Dekameron (1. rész): Száz novella,"Jókai, Mór","""Dekameron (1. rész)"" by Mór Jókai is a collection of novellas written in the late 19th century. The work explores the narratives of characters set against historical backdrops, delving into their experiences and emotions in the context of Hungarian history. Through its luxuriant prose, it portrays the lives of notable figures and the common folk of Esztergom, capturing the vibrant culture and the impending threats of their era.  The opening of this volume introduces readers to an intriguing blend of history and character reflection, primarily focusing on the past glories and decadence of Esztergom. The narrator, who possesses the skull of Karadzim khán, reflects upon the historical significance and beauty of the city while longing for its former splendor. The text paints a vivid picture of a bustling town filled with diverse cultures, commerce, and the enchanting beauty of women, yet it ominously foreshadows the devastating arrival of the Tatars. Through the character of Berta, the belle of the town, the narrative hints at impending tragedy as the threat of invasion looms, underscoring themes of beauty, loss, and resilience amidst turmoil. (This is an automatically generated summary.)",3
A nagy háboru anekdotakincse,"Nagy, Endre","""A nagy háború anekdotakincse"" by Endre Nagy is a collection of anecdotes written in the early 20th century, specifically around the time of World War I. The work captures the humor and human experience of war, exploring the absurdities and challenges faced by soldiers and civilians alike during this tumultuous period. The anecdotes reflect various characters, from soldiers to civilians, highlighting their resilience, camaraderie, and the surreal elements of life during wartime.  The opening of this collection introduces themes of humor amid the harsh realities of war. It begins with a preface that contemplates the presence of humor in the midst of suffering and death, establishing a tone that combines reflection with wit. The narrator presents various scenes of life as soldiers prepare for war, emphasizing the complex emotions of those involved, including moments of intimacy and shared experiences, from conversations on public transport to preparations for enlistment. The anecdotes vary in perspective, from the jovial spirit of soldiers and their loved ones to the ironic commentary on the absurdity of circumstances they find themselves in, effectively setting the stage for the rest of the collection. (This is an automatically generated summary.)",3
